H|05-scale-1e7|N=10000000|不同键=26|eps=1/10000|B=1000|阈值=10000000/10000|必须报=12|命中上限=40|尾频=1
E|a|6000000|must|5999000|6001000
E|b|2000000|must|1999000|2001000
E|c|1000000|must|999000|1001000
E|d|500000|must|499000|501000
E|e|250000|must|249000|251000
E|f|125000|must|124000|126000
E|g|62500|must|61500|63500
E|h|31250|must|30250|32250
E|i|15625|must|14625|16625
E|j|7812|must|6812|8812
E|k|3906|must|2906|4906
E|l|1953|must|953|2953
E|m|977|opt|1|1977
E|z|77|opt|1|1077
E|n|75|opt|1|1075
E|o|75|opt|1|1075
E|p|75|opt|1|1075
E|q|75|opt|1|1075
E|r|75|opt|1|1075
E|s|75|opt|1|1075
E|t|75|opt|1|1075
E|u|75|opt|1|1075
E|v|75|opt|1|1075
E|w|75|opt|1|1075
E|x|75|opt|1|1075
E|y|75|opt|1|1075
T|条目=26|必须报=12|精确合计=10000000|最大=6000000|不同键=26
